timestamp,client,command,args
"21:42:01.554","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:heartbeat"" ""30"""
"21:42:01.619","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:data"" ""30"""
"21:42:02.427","[0 74.220.52.2:64748]","KEYS","""queue:*"""
"21:42:02.493","[0 74.220.52.2:64748]","KEYS","""room:*:p"""
"21:42:02.556","[0 103.44.52.75:55886]","SPOP","""queue:deep:male:any"""
"21:42:02.585","[0 103.44.52.75:55886]","SPOP","""queue:deep:female:any"""
"21:42:02.612","[0 103.44.52.75:55886]","SPOP","""queue:deep:other:any"""
"21:42:02.639","[0 103.44.52.75:55886]","SADD","""queue:deep:any:any"" ""a48b613f-7aa5-43ad-b2ae-0a8fd00c54a0"""
"21:42:02.666","[0 103.44.52.75:55886]","EXPIRE","""queue:deep:any:any"" ""3600"""
"21:42:02.694","[0 103.44.52.75:55886]","SETEX","""user:a48b613f-7aa5-43ad-b2ae-0a8fd00c54a0:data"" ""30"" ""{\""id\"": \""a48b613f-7aa5-43ad-b2ae-0a8fd00c54a0\"", \""codename\"": \""Subject #209\"", \""gender\"": \""any\"", \""preference\"": \""any\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""deep\"", \""joined_at\"": 1771085522}"""
"21:42:02.722","[0 103.44.52.75:55886]","SETEX","""user:a48b613f-7aa5-43ad-b2ae-0a8fd00c54a0:heartbeat"" ""30"" ""1"""
"21:42:02.750","[0 103.44.52.75:55886]","SETEX","""codename:Subject #209"" ""30"" ""{\""user_id\"": \""a48b613f-7aa5-43ad-b2ae-0a8fd00c54a0\"", \""topic\"": \""deep\"", \""gender\"": \""any\"", \""preference\"": \""any\""}"""
"21:42:03.392","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:04.839","[0 103.44.52.75:55886]","SPOP","""queue:deep:male:any"""
"21:42:04.867","[0 103.44.52.75:55886]","SPOP","""queue:deep:female:any"""
"21:42:04.894","[0 103.44.52.75:55886]","SPOP","""queue:deep:other:any"""
"21:42:04.921","[0 103.44.52.75:55886]","SADD","""queue:deep:any:any"" ""11a81d9e-d350-4bb4-9bcd-0a8623339df4"""
"21:42:04.949","[0 103.44.52.75:55886]","EXPIRE","""queue:deep:any:any"" ""3600"""
"21:42:04.975","[0 103.44.52.75:55886]","SETEX","""user:11a81d9e-d350-4bb4-9bcd-0a8623339df4:data"" ""30"" ""{\""id\"": \""11a81d9e-d350-4bb4-9bcd-0a8623339df4\"", \""codename\"": \""Subject #813\"", \""gender\"": \""any\"", \""preference\"": \""any\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""deep\"", \""joined_at\"": 1771085524}"""
"21:42:05.002","[0 103.44.52.75:55886]","SETEX","""user:11a81d9e-d350-4bb4-9bcd-0a8623339df4:heartbeat"" ""30"" ""1"""
"21:42:05.029","[0 103.44.52.75:55886]","SETEX","""codename:Subject #813"" ""30"" ""{\""user_id\"": \""11a81d9e-d350-4bb4-9bcd-0a8623339df4\"", \""topic\"": \""deep\"", \""gender\"": \""any\"", \""preference\"": \""any\""}"""
"21:42:05.411","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:07.107","[0 103.44.52.75:55886]","FLUSHDB",""
"21:42:07.418","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:09.183","[0 103.44.52.75:55886]","SPOP","""queue:id test:male:any"""
"21:42:09.210","[0 103.44.52.75:55886]","SPOP","""queue:id test:female:any"""
"21:42:09.237","[0 103.44.52.75:55886]","SPOP","""queue:id test:other:any"""
"21:42:09.265","[0 103.44.52.75:55886]","SADD","""queue:id test:any:any"" ""0290f24d-65c7-4ae3-a783-1f3fa41cbc8a"""
"21:42:09.292","[0 103.44.52.75:55886]","EXPIRE","""queue:id test:any:any"" ""3600"""
"21:42:09.318","[0 103.44.52.75:55886]","SETEX","""user:0290f24d-65c7-4ae3-a783-1f3fa41cbc8a:data"" ""30"" ""{\""id\"": \""0290f24d-65c7-4ae3-a783-1f3fa41cbc8a\"", \""codename\"": \""Subject #339\"", \""gender\"": \""any\"", \""preference\"": \""any\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""id test\"", \""joined_at\"": 1771085529}"""
"21:42:09.346","[0 103.44.52.75:55886]","SETEX","""user:0290f24d-65c7-4ae3-a783-1f3fa41cbc8a:heartbeat"" ""30"" ""1"""
"21:42:09.375","[0 103.44.52.75:55886]","SETEX","""codename:Subject #339"" ""30"" ""{\""user_id\"": \""0290f24d-65c7-4ae3-a783-1f3fa41cbc8a\"", \""topic\"": \""id test\"", \""gender\"": \""any\"", \""preference\"": \""any\""}"""
"21:42:11.387","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:11.452","[0 103.44.52.75:55886]","SPOP","""queue:id test:male:any"""
"21:42:11.480","[0 103.44.52.75:55886]","SPOP","""queue:id test:female:any"""
"21:42:11.507","[0 103.44.52.75:55886]","SPOP","""queue:id test:other:any"""
"21:42:11.534","[0 103.44.52.75:55886]","SADD","""queue:id test:any:any"" ""a6829b23-ddc9-48c6-acf8-15e2c472ac93"""
"21:42:11.562","[0 103.44.52.75:55886]","EXPIRE","""queue:id test:any:any"" ""3600"""
"21:42:11.589","[0 103.44.52.75:55886]","SETEX","""user:a6829b23-ddc9-48c6-acf8-15e2c472ac93:data"" ""30"" ""{\""id\"": \""a6829b23-ddc9-48c6-acf8-15e2c472ac93\"", \""codename\"": \""Subject #353\"", \""gender\"": \""any\"", \""preference\"": \""any\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""id test\"", \""joined_at\"": 1771085531}"""
"21:42:11.618","[0 103.44.52.75:55886]","SETEX","""user:a6829b23-ddc9-48c6-acf8-15e2c472ac93:heartbeat"" ""30"" ""1"""
"21:42:11.648","[0 103.44.52.75:55886]","SETEX","""codename:Subject #353"" ""30"" ""{\""user_id\"": \""a6829b23-ddc9-48c6-acf8-15e2c472ac93\"", \""topic\"": \""id test\"", \""gender\"": \""any\"", \""preference\"": \""any\""}"""
"21:42:12.446","[0 74.220.52.2:64748]","KEYS","""queue:*"""
"21:42:12.511","[0 74.220.52.2:64748]","SCARD","""queue:id test:any:any"""
"21:42:12.576","[0 74.220.52.2:64748]","KEYS","""room:*:p"""
"21:42:13.381","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:13.446","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:heartbeat"" ""30"""
"21:42:13.512","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:data"" ""30"""
"21:42:13.734","[0 103.44.52.75:55886]","FLUSHDB",""
"21:42:15.404","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:15.799","[0 103.44.52.75:55886]","SPOP","""queue:gender test:male:female"""
"21:42:15.829","[0 103.44.52.75:55886]","SPOP","""queue:gender test:male:any"""
"21:42:15.856","[0 103.44.52.75:55886]","SADD","""queue:gender test:female:male"" ""d7648922-182d-47ac-9525-a2625a7faf54"""
"21:42:15.883","[0 103.44.52.75:55886]","EXPIRE","""queue:gender test:female:male"" ""3600"""
"21:42:15.910","[0 103.44.52.75:55886]","SETEX","""user:d7648922-182d-47ac-9525-a2625a7faf54:data"" ""30"" ""{\""id\"": \""d7648922-182d-47ac-9525-a2625a7faf54\"", \""codename\"": \""Subject #780\"", \""gender\"": \""female\"", \""preference\"": \""male\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""gender test\"", \""joined_at\"": 1771085535}"""
"21:42:15.938","[0 103.44.52.75:55886]","SETEX","""user:d7648922-182d-47ac-9525-a2625a7faf54:heartbeat"" ""30"" ""1"""
"21:42:15.964","[0 103.44.52.75:55886]","SETEX","""codename:Subject #780"" ""30"" ""{\""user_id\"": \""d7648922-182d-47ac-9525-a2625a7faf54\"", \""topic\"": \""gender test\"", \""gender\"": \""female\"", \""preference\"": \""male\""}"""
"21:42:17.374","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:18.023","[0 103.44.52.75:55886]","SPOP","""queue:gender test:female:male"""
"21:42:18.050","[0 103.44.52.75:55886]","EXISTS","""user:d7648922-182d-47ac-9525-a2625a7faf54:heartbeat"""
"21:42:18.083","[0 103.44.52.75:55886]","GET","""user:d7648922-182d-47ac-9525-a2625a7faf54:data"""
"21:42:18.109","[0 103.44.52.75:55886]","DEL","""user:d7648922-182d-47ac-9525-a2625a7faf54:data"""
"21:42:18.136","[0 103.44.52.75:55886]","DEL","""user:d7648922-182d-47ac-9525-a2625a7faf54:heartbeat"""
"21:42:18.163","[0 103.44.52.75:55886]","SET","""room:e7e2bc09-54cb-4015-821f-a5bf7e60ee54"" ""{\""topic\"": \""gender test\"", \""type\"": \""pair\"", \""max_size\"": 2, \""users\"": [{\""id\"": \""483bc4e3-dbce-464f-814a-590cf5c2a4ec\"", \""codename\"": \""Subject #687\""}, {\""id\"": \""d7648922-182d-47ac-9525-a2625a7faf54\"", \""codename\"": \""Subject #780\"", \""gender\"": \""female\"", \""preference\"": \""male\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""gender test\"", \""joined_at\"": 1771085535}], \""active\"": true, \""open\"": false, \""created_at\"": 1771085538}"""
"21:42:18.163","[0 103.44.52.75:55886]","EXPIRE","""room:e7e2bc09-54cb-4015-821f-a5bf7e60ee54"" ""3600"""
"21:42:18.163","[0 103.44.52.75:55886]","SADD","""room:e7e2bc09-54cb-4015-821f-a5bf7e60ee54:p"" ""483bc4e3-dbce-464f-814a-590cf5c2a4ec"" ""d7648922-182d-47ac-9525-a2625a7faf54"""
"21:42:18.163","[0 103.44.52.75:55886]","EXPIRE","""room:e7e2bc09-54cb-4015-821f-a5bf7e60ee54:p"" ""3600"""
"21:42:18.163","[0 103.44.52.75:55886]","SETEX","""match:483bc4e3-dbce-464f-814a-590cf5c2a4ec"" ""300"" ""e7e2bc09-54cb-4015-821f-a5bf7e60ee54"""
"21:42:18.163","[0 103.44.52.75:55886]","SETEX","""match:d7648922-182d-47ac-9525-a2625a7faf54"" ""300"" ""e7e2bc09-54cb-4015-821f-a5bf7e60ee54"""
"21:42:20.258","[0 103.44.52.75:55886]","FLUSHDB",""
"21:42:21.376","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:21.454","[0 74.220.52.2:64748]","SREM","""queue:movies:male:any"" ""1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:21.520","[0 74.220.52.2:64748]","DEL","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:data"""
"21:42:21.585","[0 74.220.52.2:64748]","DEL","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:heartbeat"""
"21:42:22.343","[0 103.44.52.75:55886]","SPOP","""queue:incompatible test:female:male"""
"21:42:22.379","[0 103.44.52.75:55886]","SPOP","""queue:incompatible test:female:any"""
"21:42:22.408","[0 103.44.52.75:55886]","SADD","""queue:incompatible test:male:female"" ""fdf4a967-8e65-44f1-81b3-03a48686ab38"""
"21:42:22.436","[0 103.44.52.75:55886]","EXPIRE","""queue:incompatible test:male:female"" ""3600"""
"21:42:22.463","[0 103.44.52.75:55886]","SETEX","""user:fdf4a967-8e65-44f1-81b3-03a48686ab38:data"" ""30"" ""{\""id\"": \""fdf4a967-8e65-44f1-81b3-03a48686ab38\"", \""codename\"": \""Subject #220\"", \""gender\"": \""male\"", \""preference\"": \""female\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""incompatible test\"", \""joined_at\"": 1771085542}"""
"21:42:22.489","[0 103.44.52.75:55886]","SETEX","""user:fdf4a967-8e65-44f1-81b3-03a48686ab38:heartbeat"" ""30"" ""1"""
